period,interval,wfa_idx,train_file,train_candles,train_start,train_end,oos_file,oos_candles,oos_start,oos_end
2018,15m,2,BTCUSDT_15m_2018_WFA02_TRAIN.csv,4032,2018-02-27,2018-04-10,BTCUSDT_15m_2018_WFA02_OOS.csv,1344,2018-04-10,2018-04-24
2018,15m,3,BTCUSDT_15m_2018_WFA03_TRAIN.csv,4032,2018-04-24,2018-06-05,BTCUSDT_15m_2018_WFA03_OOS.csv,1344,2018-06-05,2018-06-19
2018,15m,4,BTCUSDT_15m_2018_WFA04_TRAIN.csv,4032,2018-06-19,2018-07-31,BTCUSDT_15m_2018_WFA04_OOS.csv,1344,2018-07-31,2018-08-14
2018,15m,5,BTCUSDT_15m_2018_WFA05_TRAIN.csv,4032,2018-08-14,2018-09-25,BTCUSDT_15m_2018_WFA05_OOS.csv,1344,2018-09-25,2018-10-09
2018,15m,6,BTCUSDT_15m_2018_WFA06_TRAIN.csv,4032,2018-10-09,2018-11-21,BTCUSDT_15m_2018_WFA06_OOS.csv,1344,2018-11-21,2018-12-05
2020,15m,1,BTCUSDT_15m_2020_WFA01_TRAIN.csv,4032,2020-01-31,2020-03-13,BTCUSDT_15m_2020_WFA01_OOS.csv,1344,2020-03-13,2020-03-27
2020,15m,2,BTCUSDT_15m_2020_WFA02_TRAIN.csv,4032,2020-03-27,2020-05-09,BTCUSDT_15m_2020_WFA02_OOS.csv,1344,2020-05-09,2020-05-23
bull,15m,1,BTCUSDT_15m_bull_WFA01_TRAIN.csv,4032,2020-04-30,2020-06-11,BTCUSDT_15m_bull_WFA01_OOS.csv,1344,2020-06-11,2020-06-25
bull,15m,2,BTCUSDT_15m_bull_WFA02_TRAIN.csv,4032,2020-06-25,2020-08-06,BTCUSDT_15m_bull_WFA02_OOS.csv,1344,2020-08-06,2020-08-20
bull,15m,3,BTCUSDT_15m_bull_WFA03_TRAIN.csv,4032,2020-08-20,2020-10-01,BTCUSDT_15m_bull_WFA03_OOS.csv,1344,2020-10-01,2020-10-15
bull,15m,4,BTCUSDT_15m_bull_WFA04_TRAIN.csv,4032,2020-10-15,2020-11-26,BTCUSDT_15m_bull_WFA04_OOS.csv,1344,2020-11-26,2020-12-10
